CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0098,Weststellingwerf,Friesland,25487,117,52,11,100,0,1,7,39,2,37,49,9,24,20,5,1,57,4,98,3,4,7
GM0614,Westvoorne,South Holland,13977,261,45,17,53,0,0,3,26,5,22,26,6,8,36,6,1,24,3,64,0,2,8
GM0189,Wierden,Overijssel,23906,251,27,6,38,0,3,1,22,1,72,15,6,16,22,6,0,16,0,50,2,0,12
GM0296,Wijchen,Gelderland,41010,613,70,19,95,6,2,5,36,22,196,132,41,39,51,23,1,52,7,215,6,26,6
GM1696,Wijdemeren,North Holland,23170,487,30,22,56,1,0,0,25,4,44,63,5,24,12,2,3,30,1,113,3,6,4
GM0352,Wijk bij Duurstede,Utrecht,23031,485,17,17,35,0,2,0,17,7,28,83,11,20,5,4,0,16,2,78,2,2,2
GM0053,Winsum,Groningen,13843,138,7,6,27,0,0,2,12,0,17,6,0,8,4,1,0,15,0,54,0,2,3
GM0294,Winterswijk,Gelderland,28873,210,41,13,151,2,0,5,55,6,87,25,5,26,18,23,2,84,12,191,12,8,12
GM0873,Woensdrecht,North Brabant,21654,237,37,19,69,2,0,3,32,4,48,55,9,23,20,18,0,35,2,98,6,8,6
GM0632,Woerden,Utrecht,50607,560,98,71,132,8,1,11,42,8,212,286,20,63,28,18,2,79,11,243,13,16,10
GM1690,"Wolden, DeDe Wolden",Drenthe,23592,106,47,15,40,1,0,1,11,1,16,15,3,14,30,3,0,28,1,56,7,2,5
GM0880,Wormerland,North Holland,15751,407,21,11,39,1,1,0,20,2,19,23,1,14,8,4,1,19,0,53,0,2,3
GM0351,Woudenberg,Utrecht,12386,329,32,22,21,0,0,1,8,1,18,24,2,9,9,2,0,12,1,45,0,4,2
GM0874,Woudrichem,North Brabant,14407,292,13,5,32,0,0,0,11,1,23,44,6,15,9,12,0,21,0,37,2,2,1
GM0479,Zaanstad,North Holland,150911,2007,256,169,712,31,14,20,252,59,958,492,92,243,152,80,21,442,18,839,47,211,52
GM0297,Zaltbommel,Gelderland,27207,336,45,17,75,2,1,2,33,8,69,162,22,47,18,12,3,39,3,138,6,2,4
GM0473,Zandvoort,North Holland,16588,519,45,17,122,2,0,11,45,5,116,51,21,38,29,10,0,70,7,120,5,21,8
GM0707,Zederik,South Holland,13661,182,21,9,28,0,0,4,16,2,16,45,5,10,9,11,0,10,2,16,5,1,2
GM0050,Zeewolde,Flevoland,21543,86,39,13,76,1,0,7,26,3,93,46,8,31,13,29,4,49,1,119,3,8,7
